tau,S_mean,S_var,Mz_mean,Mz_var
0.000000000000000000e+00,2.466068634596620418e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.405774745116606023e-02,5.669958756819640005e-08,5.788898055025639736e-22,-3.214125001178238384e-08,9.439001481137916348e-15
4.811549490233212045e-02,1.147797547677682199e-07,2.372285083090984540e-21,-6.506512241857127009e-08,3.868094100144533201e-14
7.217324235349817374e-02,1.742741432418533227e-07,5.468928800845949665e-21,-9.879067366070252635e-08,8.917280380609220897e-14
9.623098980466424091e-02,2.352171885285995944e-07,9.962641388913135732e-21,-1.333374241927289544e-07,1.624443649415812305e-13
1.202887372558303081e-01,2.976441646532515828e-07,1.595258813847310548e-20,-1.687253697819222250e-07,2.601125492896317870e-13
1.443464847069963475e-01,3.615912045448624903e-07,2.354356019817071781e-20,-2.049749930818833584e-07,3.838860133128348182e-13
1.684042321581624146e-01,4.270953209501495967e-07,3.284626984845117818e-20,-2.421072754879680612e-07,5.355699596061968658e-13
1.924619796093284818e-01,4.941944278565866039e-07,4.397766076795769864e-20,-2.801437092813836836e-07,7.170711958995398686e-13
2.165197270604945490e-01,5.629273624371397132e-07,5.706123404159484895e-20,-3.191063100689892040e-07,9.304034507338771498e-13
2.405774745116606161e-01,6.333339075293411755e-07,7.222739069719685718e-20,-3.590176295259957837e-07,1.177692958641590887e-12
2.646352219628266833e-01,7.054548146617245317e-07,8.961379159662362103e-20,-3.999007684489492806e-07,1.461184328297016221e-12
2.886929694139926950e-01,7.793318276409334607e-07,1.093657355482020541e-19,-4.417793901265413623e-07,1.783246707772203589e-12
3.127507168651587621e-01,8.550077067131704752e-07,1.316365565502193033e-19,-4.846777340359970030e-07,2.146380261733982829e-12
3.368084643163248293e-01,9.325262533139583865e-07,1.565880411210741322e-19,-5.286206298729580682e-07,2.553222976154323275e-12
3.608662117674908965e-01,1.011932335420548559e-06,1.843908667175927858e-19,-5.736335119229884162e-07,3.006557806878405446e-12
3.849239592186569636e-01,1.093271913521648681e-06,2.152250622943944002e-19,-6.197424337830207094e-07,3.509320189205325267e-12
4.089817066698230308e-01,1.176592067219496740e-06,2.492804921082176703e-19,-6.669740834412572981e-07,4.064605926486894769e-12
4.330394541209890980e-01,1.261941022479680989e-06,2.867573639261562208e-19,-7.153557987242627464e-07,4.675679476642750631e-12
4.570972015721551651e-01,1.349368179544477679e-06,3.278667628543230235e-19,-7.649155831201808077e-07,5.345982656426678514e-12
4.811549490233212323e-01,3.532398911040970368e-06,1.800625840218294459e-17,-1.175802907676043561e-06,1.261373281330436996e-11
5.052126964744872994e-01,7.757782947819027230e-06,1.312268634532704755e-16,-1.938878096245888089e-06,3.425880325321514002e-11
5.292704439256533666e-01,1.208605284539815646e-05,3.550621490462185544e-16,-2.720533761039572963e-06,6.741499415947687143e-11
5.533281913768194338e-01,1.651971381993403492e-05,6.975220339368443392e-16,-3.521222326800921898e-06,1.129040204115423620e-10
5.773859388279853899e-01,2.106133208826729288e-05,1.167073534692383892e-15,-4.341407234576368056e-06,1.715942930527232147e-10
6.014436862791514571e-01,2.571353635325800667e-05,1.772664813225875112e-15,-5.181563209956099793e-06,2.444033718097699258e-10
6.255014337303175243e-01,3.047901932528689558e-05,2.523750446599945163e-15,-6.042176537846688472e-06,3.323005421730510907e-10
6.495591811814835914e-01,3.536053928080475230e-05,3.430317980246311232e-15,-6.923745343934338470e-06,4.363095232665613624e-10
6.736169286326496586e-01,4.036092165883133965e-05,4.502915828784917717e-15,-7.826779883001583259e-06,5.575113130461907454e-10
6.976746760838157257e-01,4.548306069632842061e-05,5.752682591812166298e-15,-8.751802834264356138e-06,6.970471776892287081e-10
7.217324235349817929e-01,5.072992110339298290e-05,7.191377855366835417e-15,-9.699349603900326650e-06,8.561217923786338989e-10
7.457901709861478601e-01,5.610453977924098173e-05,8.831414553301616031e-15,-1.066996863494371228e-05,1.036006541043036616e-09
7.698479184373139272e-01,6.161002756997405573e-05,1.068589296646159679e-14,-1.166422172472582983e-05,1.238042982988506603e-09
7.939056658884799944e-01,7.924736128854895925e-05,2.697982786689249075e-14,-1.366322634643740143e-05,1.697329599043612377e-09
8.179634133396460616e-01,1.253144825914343841e-04,1.198848022078237484e-13,-1.799928518710003155e-05,2.939987146765578862e-09
8.420211607908121287e-01,1.725033138711226535e-04,2.837306197960716135e-13,-2.244092476135347032e-05,4.564590200218703983e-09
8.660789082419781959e-01,2.208411681707655571e-04,5.236299496284290277e-13,-2.699071590407678086e-05,6.597774250281436381e-09
8.901366556931442631e-01,2.703560235916340967e-04,8.449868189900268702e-13,-3.165129204861527758e-05,9.067677837682158606e-09
9.141944031443103302e-01,3.210765394869294679e-04,1.253511933079752678e-12,-3.642535075101979264e-05,1.200402127083574208e-08
9.382521505954763974e-01,3.730320730499071358e-04,1.755238773096549167e-12,-4.131565525140069173e-05,1.543818933655890629e-08
9.623098980466424646e-01,4.262526963059111614e-04,2.356540511725407826e-12,-4.632503607329975076e-05,1.940331820322540613e-08
9.863676454978084207e-01,4.807692135181578842e-04,3.064147786896328153e-12,-5.145639266200617134e-05,2.393438672582612419e-08
1.010425392948974599e+00,5.366131790173386254e-04,3.885167376718512346e-12,-5.671269506276449389e-05,2.906831237279211352e-08
1.034483140400140666e+00,6.413378385139171167e-04,6.718065258185153255e-12,-6.451812984687684330e-05,3.758109755120745670e-08
1.058540887851306733e+00,8.653517969481409325e-04,1.762219645685179808e-11,-7.846137560011293513e-05,5.544206858021080212e-08
1.082598635302472800e+00,1.094820376487654024e-03,3.413996127536420079e-11,-9.274413199408511419e-05,7.732706864015119493e-08
