t,S_mean,S_var,Mz_mean,Mz_var
1.000000000000000056e-01,1.213462344007861484e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.497487437185929804e-01,4.930911056576329012e-07,6.223802843734648816e-20,-4.756955784168681695e-07,7.001135470604736038e-13
1.994974874371859275e-01,2.393221003035114040e-05,2.306252125198809086e-15,-7.501299255729953533e-06,1.735958566762587042e-10
2.492462311557789023e-01,2.185732968718919606e-04,9.313316861750630455e-13,-3.707229951335951486e-05,4.218574533981921695e-09
2.989949748743718771e-01,1.001571970510300091e-03,5.885273416184211047e-11,-1.132809131003331774e-04,3.910352288064263603e-08
3.487437185929648242e-01,3.129251748024189025e-03,1.327966497478675362e-09,-2.648122048319767499e-04,2.116247243641839817e-07
3.984924623115577713e-01,7.643068560226879034e-03,1.546103164707205817e-08,-5.206798897356831532e-04,8.081157220300026537e-07
4.482412060301508294e-01,1.570366249729909444e-02,1.131169738959642682e-07,-9.057728517878931495e-04,2.408423021660914467e-06
4.979899497487437765e-01,2.836793800445543134e-02,5.856864683403362480e-07,-1.436810954062121360e-03,5.948554209071692353e-06
5.477386934673367236e-01,4.637764346259273113e-02,2.319466546472271234e-06,-2.119276221032643376e-03,1.265502346542502573e-05
5.974874371859296707e-01,7.001494476400044187e-02,7.415956682863394245e-06,-2.945761291778962402e-03,2.380592027007514733e-05
6.472361809045226178e-01,9.905216762409045639e-02,1.991063536666682178e-05,-3.895980302686926581e-03,4.034509133988461093e-05
6.969849246231155648e-01,1.327938509622499097e-01,4.624103941572637932e-05,-4.938450885134247625e-03,6.245780929542569312e-05
7.467336683417085119e-01,1.701889485843635919e-01,9.506023151268466179e-05,-6.033598101860000729e-03,8.926729713520688552e-05
7.964824120603015700e-01,2.099821537190511567e-01,1.761718574982785784e-04,-7.137820456954875430e-03,1.187977138319771110e-04
8.462311557788945171e-01,2.508744921973313780e-01,2.987171832032427168e-04,-8.207911686344450050e-03,1.482655396328788459e-04
8.959798994974874642e-01,2.916697233083662133e-01,4.690652755403889088e-04,-9.205179911792616201e-03,1.746379069479159945e-04
9.457286432160804113e-01,3.313916486981840492e-01,6.890018939622598619e-04,-1.009869118035241348e-02,1.952866132713445147e-04
9.954773869346733584e-01,3.693643283387872955e-01,9.547200111724457204e-04,-1.086720128772426623e-02,2.085236184612737935e-04
1.045226130653266416e+00,4.052526230653709649e-01,1.256891687503828604e-03,-1.149959390690917516e-02,2.138484135793189205e-04
1.094974874371859475e+00,4.390633877329503387e-01,1.581848596502728353e-03,-1.199388907085167238e-02,2.118534846233805077e-04
1.144723618090452311e+00,4.711093888519914397e-01,1.913711181457259172e-03,-1.235509701755950485e-02,2.038685375539712324e-04
1.194472361809045369e+00,5.019400752362254137e-01,2.237175624455057209e-03,-1.259241601165952441e-02,1.915142641186069457e-04
1.244221105527638427e+00,5.322464205690289329e-01,2.540463201114377071e-03,-1.271629026620183130e-02,1.763505487890319084e-04
1.293969849246231263e+00,5.627509956747286379e-01,2.817823727329848375e-03,-1.273587477150429914e-02,1.597343654574171488e-04
1.343718592964824321e+00,5.940978418591817967e-01,3.070988449352915744e-03,-1.265732815179101446e-02,1.428931543105826788e-04
1.393467336683417157e+00,6.267580513366932671e-01,3.309169911309522028e-03,-1.248319441552972996e-02,1.271186216809835055e-04
1.443216080402010215e+00,6.609650699728665257e-01,3.547626990677980093e-03,-1.221291740956399578e-02,1.139393489804486052e-04
1.492964824120603273e+00,6.966885742130287662e-01,3.805248701155344512e-03,-1.184434133270763183e-02,1.051511319355536383e-04
1.542713567839196109e+00,7.336484847299553635e-01,4.101803926706173824e-03,-1.137587474822293783e-02,1.026560521891502193e-04
1.592462311557789167e+00,7.713643380626858947e-01,4.455358458436751642e-03,-1.080891910896795982e-02,1.081459328486791507e-04
1.642211055276382003e+00,8.092301674644093445e-01,4.880173655557133554e-03,-1.015005125478160922e-02,1.227317783709066840e-04
1.691959798994975062e+00,8.466019777698746696e-01,5.385151964239221802e-03,-9.412622693566234655e-03,1.466356882700641732e-04
