tau,E_mean,E_var
4.080115698339973562e+00,-3.741084730418203890e+02,6.094422658127795103e+02
4.102290240178777303e+00,-3.900101174194847999e+02,4.174428841187991566e+02
4.124464782017581932e+00,-3.673124787405420761e+02,1.547110818135588033e+03
4.146639323856385673e+00,-3.747237802544018450e+02,9.161421788709478733e+02
4.168813865695190302e+00,-3.805153809072410809e+02,8.601897167857859472e+01
4.190988407533994042e+00,-3.760911483936657760e+02,6.668159558323588953e+02
4.213162949372798671e+00,-3.753624826636980174e+02,1.282783593246431337e+03
4.235337491211602412e+00,-3.770039769039967155e+02,8.863107284372508730e+02
4.257512033050407041e+00,-3.817361181211099392e+02,1.822057018075215410e+03
4.279686574889210782e+00,-3.616712063492903440e+02,1.170770987505718495e+03
4.301861116728015411e+00,-3.721663509634346951e+02,6.457174954575990569e+02
4.324035658566819151e+00,-3.679104939404967922e+02,5.515052646879480562e+02
4.346210200405623780e+00,-3.715865009346050556e+02,3.003605716432075496e+02
4.368384742244427521e+00,-4.075795796996106333e+02,1.987525943059592350e+02
4.390559284083232150e+00,-3.487849960977151227e+02,3.522321773627983816e+02
4.412733825922035891e+00,-3.673191319494658273e+02,4.860362231379928630e+02
4.434908367760840520e+00,-3.827551669466270141e+02,6.961144056023257463e+02
4.457082909599644260e+00,-3.911920924782227189e+02,2.583603150704869904e+02
4.479257451438448889e+00,-3.759008271335509903e+02,2.164519565805489037e+03
4.501431993277252630e+00,-3.843577219865773600e+02,5.687960640589660670e+02
4.523606535116057259e+00,-3.878660765895797908e+02,1.594390423065083269e+03
4.545781076954861888e+00,-3.715422849561478529e+02,7.878597041084002512e+02
4.567955618793665629e+00,-3.780408255901592156e+02,9.387257968537199986e+02
4.590130160632470258e+00,-3.813099562542723788e+02,9.940487758358627843e+02
4.612304702471273998e+00,-3.719711533294740775e+02,5.389531883646257029e+02
4.634479244310078627e+00,-3.812502023992145723e+02,1.708609890703664860e+03
4.656653786148882368e+00,-3.840779646219445453e+02,4.112789198277569085e+02
4.678828327987686997e+00,-3.831999999999999886e+02,1.328164929330580435e+03
4.701002869826490738e+00,-3.735721373480729426e+02,2.818616260226290251e+02
4.723177411665295367e+00,-3.630053809138597103e+02,6.903950223060387543e+02
4.745351953504099107e+00,-3.413295758478362245e+02,6.833237654210415712e+02
4.767526495342903736e+00,-3.840367422934253341e+02,2.844790145133736701e+02
4.789701037181707477e+00,-3.574671785026795874e+02,1.256219779194647117e+03
4.811875579020512106e+00,-3.850228008497876431e+02,2.425540376607772941e+03
4.834050120859315847e+00,-3.504804968474314251e+02,1.699755771988733159e+03
4.856224662698120476e+00,-3.786479577187172936e+02,2.008033116169501227e+03
4.878399204536924216e+00,-3.766532465974281081e+02,6.348527660319703045e+02
4.900573746375728845e+00,-3.646391196801326942e+02,4.484707545157705795e+02
4.922748288214532586e+00,-3.672734186972844554e+02,1.200559205541367646e+03
4.944922830053337215e+00,-3.865116345544189471e+02,9.981463845913957300e+01
4.967097371892140956e+00,-3.566972213248806725e+02,1.573649113137665381e+03
4.989271913730945585e+00,-3.804277437114332088e+02,2.268628702780007984e+02
5.011446455569749325e+00,-3.425318505282763226e+02,4.517722334925534597e+03
5.033620997408553954e+00,-3.670442690110772901e+02,1.182729336939216410e+03
5.055795539247357695e+00,-3.623181683779702098e+02,1.906826817403960376e+03
5.077970081086162324e+00,-3.493878145071981294e+02,6.080163552410666625e+02
5.100144622924966065e+00,-3.970858461129432726e+02,5.650893952172917807e+02
5.122319164763770694e+00,-3.768185749857069595e+02,4.633710596694521087e+02
5.144493706602575323e+00,-3.900614354112266255e+02,4.091026321051222681e+02
5.166668248441379063e+00,-3.502406359777725129e+02,4.582861841501726303e+02
5.188842790280183692e+00,-3.501230913363669970e+02,1.636208421040694930e+03
5.211017332118987433e+00,-3.711619456641343504e+02,1.513876036868181927e+03
5.233191873957792062e+00,-3.673202982419192040e+02,2.327916491937167848e+03
5.255366415796595803e+00,-3.907599589889241543e+02,6.028338102306097426e+02
5.277540957635400432e+00,-3.695624980047118129e+02,1.042166040755349513e+03
5.299715499474204172e+00,-3.708878252268831375e+02,2.246383722734613002e+03
5.321890041313008801e+00,-4.055887843662579257e+02,2.884193259516861758e+02
5.344064583151812542e+00,-3.853346637400659915e+02,6.536590441772208351e+02
5.366239124990617171e+00,-3.906717270555676578e+02,5.301161961956224786e+02
5.388413666829420912e+00,-3.761220376699857866e+02,5.962658287222837998e+02
5.410588208668225541e+00,-3.828841179605063303e+02,9.581745842858326796e+02
5.432762750507029281e+00,-3.665773377139167906e+02,7.791266808139678233e+02
5.454937292345833910e+00,-3.636930818476292302e+02,3.851040501952012619e+03
5.477111834184637651e+00,-3.599439505196918390e+02,1.165216581126856227e+03
5.499286376023442280e+00,-3.533591842061904345e+02,7.304548579164220428e+02
5.521460917862246021e+00,-3.823999999999958845e+02,6.950399999998446674e+02
