tau,C_mean,C_var
0.000000000000000000e+00,3.906250000000000000e-02,0.000000000000000000e+00
4.476567438455604162e-03,3.915012894989643860e-02,0.000000000000000000e+00
8.953134876911208323e-03,3.923815105603530723e-02,0.000000000000000000e+00
1.342970231536681248e-02,3.932656808235227702e-02,0.000000000000000000e+00
1.790626975382241665e-02,3.941538180069710517e-02,0.000000000000000000e+00
2.238283719227802254e-02,3.950459399086913431e-02,0.000000000000000000e+00
2.685940463073362497e-02,3.959420644065295147e-02,0.000000000000000000e+00
3.133597206918922740e-02,3.968422094585422749e-02,0.000000000000000000e+00
3.581253950764483329e-02,3.977463931033568822e-02,0.000000000000000000e+00
4.028910694610043919e-02,3.986546334605329395e-02,0.000000000000000000e+00
4.476567438455604508e-02,3.995669487309250895e-02,0.000000000000000000e+00
4.924224182301164404e-02,4.004833571970481398e-02,0.000000000000000000e+00
5.371880926146724994e-02,4.014038772234432978e-02,0.000000000000000000e+00
5.819537669992285583e-02,4.023285272570458621e-02,0.000000000000000000e+00
6.267194413837845479e-02,4.032573258275555517e-02,0.000000000000000000e+00
6.714851157683406069e-02,4.041902915478072511e-02,0.000000000000000000e+00
7.162507901528966658e-02,4.051274431141443227e-02,0.000000000000000000e+00
7.610164645374527248e-02,4.060687993067931684e-02,0.000000000000000000e+00
8.057821389220087838e-02,4.069690440608104282e-02,0.000000000000000000e+00
8.505478133065648427e-02,4.075389373348307920e-02,0.000000000000000000e+00
8.953134876911209017e-02,4.081113874932879027e-02,0.000000000000000000e+00
9.400791620756768219e-02,4.086864060079052619e-02,0.000000000000000000e+00
9.848448364602328808e-02,4.092640044018752005e-02,0.000000000000000000e+00
1.029610510844788940e-01,4.098441942500903601e-02,0.000000000000000000e+00
1.074376185229344999e-01,4.104269871793750357e-02,0.000000000000000000e+00
1.119141859613901058e-01,4.110123948687186002e-02,0.000000000000000000e+00
1.163907533998457117e-01,4.116004290495094142e-02,0.000000000000000000e+00
1.208673208383013176e-01,4.121911015057698469e-02,0.000000000000000000e+00
1.253438882767569096e-01,4.127844240743924753e-02,0.000000000000000000e+00
1.298204557152125294e-01,4.133804086453773952e-02,0.000000000000000000e+00
1.342970231536681214e-01,4.139790671620703633e-02,0.000000000000000000e+00
1.387735905921237411e-01,4.145804116214021201e-02,0.000000000000000000e+00
1.432501580305793332e-01,4.151844540741289613e-02,0.000000000000000000e+00
1.477267254690349252e-01,4.157912066250740030e-02,0.000000000000000000e+00
1.522032929074905450e-01,4.164006814333700429e-02,0.000000000000000000e+00
1.566798603459461370e-01,4.171282987280484911e-02,0.000000000000000000e+00
1.611564277844017568e-01,4.179482400865201092e-02,0.000000000000000000e+00
1.656329952228573488e-01,4.187718601957229198e-02,0.000000000000000000e+00
1.701095626613129685e-01,4.195991755607483137e-02,0.000000000000000000e+00
1.745861300997685606e-01,4.204302027607391412e-02,0.000000000000000000e+00
1.790626975382241803e-01,4.212649584492225707e-02,0.000000000000000000e+00
1.835392649766797724e-01,4.221034593544433638e-02,0.000000000000000000e+00
1.880158324151353644e-01,4.229457222796993709e-02,0.000000000000000000e+00
1.924923998535909841e-01,4.237917641036780675e-02,0.000000000000000000e+00
1.969689672920465762e-01,4.246416017807947557e-02,0.000000000000000000e+00
2.014455347305021959e-01,4.254952523415327786e-02,0.000000000000000000e+00
2.059221021689577880e-01,4.263527328927842891e-02,0.000000000000000000e+00
2.103986696074134077e-01,4.272140606181932393e-02,0.000000000000000000e+00
2.148752370458689998e-01,4.280792527784997581e-02,0.000000000000000000e+00
2.193518044843245918e-01,4.289483267118861937e-02,0.000000000000000000e+00
2.238283719227802115e-01,4.298212998343243357e-02,0.000000000000000000e+00
2.283049393612358036e-01,4.306981896399243032e-02,0.000000000000000000e+00
2.327815067996914233e-01,4.315790137012857214e-02,0.000000000000000000e+00
2.372580742381470154e-01,4.324637896698493161e-02,0.000000000000000000e+00
2.417346416766026351e-01,4.333525352762505195e-02,0.000000000000000000e+00
2.462112091150582271e-01,4.342452683306755740e-02,0.000000000000000000e+00
2.506877765535138192e-01,4.351420067232176364e-02,0.000000000000000000e+00
2.551643439919694112e-01,4.360427684242355190e-02,0.000000000000000000e+00
2.596409114304250587e-01,4.369475714847142339e-02,0.000000000000000000e+00
2.641174788688806507e-01,4.378564340366259550e-02,0.000000000000000000e+00
2.685940463073362428e-01,4.387693742932941704e-02,0.000000000000000000e+00
2.730706137457918348e-01,4.396864105497580444e-02,0.000000000000000000e+00
2.775471811842474823e-01,4.406075611831394845e-02,0.000000000000000000e+00
2.820237486227030743e-01,4.415328446530111806e-02,0.000000000000000000e+00
2.865003160611586663e-01,4.424622795017665172e-02,0.000000000000000000e+00
2.909768834996142584e-01,4.432239965995767722e-02,0.000000000000000000e+00
2.954534509380698504e-01,4.439273417747109651e-02,0.000000000000000000e+00
2.999300183765254979e-01,4.446338425798796595e-02,0.000000000000000000e+00
3.044065858149810899e-01,4.453435131731396657e-02,0.000000000000000000e+00
3.088831532534366819e-01,4.460563677760692042e-02,0.000000000000000000e+00
3.133597206918922740e-01,4.467724206740533721e-02,0.000000000000000000e+00
3.178362881303479215e-01,4.474916862165696785e-02,0.000000000000000000e+00
3.223128555688035135e-01,4.482141788174764940e-02,0.000000000000000000e+00
3.267894230072591055e-01,4.489399129553010154e-02,0.000000000000000000e+00
3.312659904457146975e-01,4.496689031735301434e-02,0.000000000000000000e+00
3.357425578841702896e-01,4.504011640809014311e-02,0.000000000000000000e+00
